fecha,tasa_global_participacion_area,tasa_global_participacion_nacional,tasa_desempleo_area,tasa_desempleo_nacional,tasa_ocupacion_area,tasa_ocupacion_nacional,anio,tasa_desempleo_nacional_lag1,tasa_desempleo_nacional_lag3,tasa_desempleo_nacional_lag6,tasa_desempleo_nacional_lag12,tasa_desempleo_nacional_rollmean3,tasa_desempleo_nacional_rollstd3,tasa_desempleo_nacional_rollmean6,tasa_desempleo_nacional_rollstd6,tasa_desempleo_nacional_rollmean12,tasa_desempleo_nacional_rollstd12,mes,covid
2001-01-31,70.0177,69.0535376390293,20.7176,16.622326481659,55.5117,57.5752369764875,2001,,,,,,,,,,,1,0
2001-02-28,70.2342,68.9489030568513,19.5518,17.4342062418222,56.5021,56.9282090964458,2001,16.622326481659,,,,,,,,,,2,0
2001-03-31,69.1487,68.3879105547224,19.124,15.8119334684307,55.9247,57.5744596373598,2001,17.4342062418222,,,,16.622822063970634,0.8111365002409924,,,,,3,0
2001-04-30,67.7233,65.2240085420357,17.5699,14.5150775203901,55.8244,55.7566931402534,2001,15.8119334684307,16.622326481659,,,15.920405743547667,1.4625842878016395,,,,,4,0
2001-05-31,68.0567,65.4060935661165,17.7675,14.0358329052173,55.9647,56.2258035633463,2001,14.5150775203901,17.4342062418222,,,14.787614631346033,0.9188801120374042,,,,,5,0
2001-06-30,68.675,66.3334653093754,18.6557,15.3123432061408,55.8632,56.1762574406775,2001,14.0358329052173,15.8119334684307,,,14.621084543916067,0.6448238161455841,15.62195330394335,1.2773339422856382,,,6,0
2001-07-31,68.9422,66.743119101478,17.2093,15.1838148191802,57.0778,56.6089674925647,2001,15.3123432061408,14.5150775203901,16.622326481659,,14.8439969768461,0.7028348038958966,15.382201360196882,1.183574490307326,,,7,0
2001-08-31,68.7545,67.438280258118,17.7606,14.9135110910063,56.5433,57.3808648522397,2001,15.1838148191802,14.0358329052173,17.4342062418222,,15.1365563721091,0.20357255372551578,14.962085501727566,0.6251728397054014,,,8,0
2001-09-30,69.2746,68.3076164245333,17.6684,14.0741458949014,57.0349,58.6939028316149,2001,14.9135110910063,15.3123432061408,15.8119334684307,,14.7238239350293,0.5786425435745942,14.672454239472684,0.5508326366394045,,,9,0
2001-10-31,70.0599,68.512291963964,16.7703,14.5249341345967,58.3106,58.5609266820956,2001,14.0741458949014,15.1838148191802,14.5150775203901,,14.504197040168131,0.42006666544970267,14.674097008507117,0.5502838404729711,,,10,0
2001-11-30,69.4433,69.6840772235653,16.3774,13.682217605975,58.0702,60.1497501411214,2001,14.5249341345967,14.9135110910063,14.0358329052173,,14.093765878491032,0.42170071700207296,14.615161125300068,0.6433761853023715,,,11,0
2001-12-31,70.6112,68.8083460738827,16.4705,13.6084248345438,58.9812,59.4446140185256,2001,13.682217605975,14.0741458949014,15.3123432061408,,13.9385255250385,0.5091833032433651,14.3311747300339,0.6501123054017361,14.976564016988625,1.178190755867958,12,0
2002-01-31,69.4774,68.3625276778812,20.2633,17.9098562180833,55.399,56.1188972637253,2002,13.6084248345438,14.5249341345967,15.1838148191802,16.622326481659,15.0668328862007,2.4624068698126393,14.785514963184417,1.6096363461792385,15.08385816169065,1.3825862680425036,1,0
2002-02-28,69.1957,68.2113864868081,18.9691,16.1888316729596,56.0699,57.1687599466668,2002,17.9098562180833,13.682217605975,14.9135110910063,17.4342062418222,15.9023709085289,2.1649764003317196,14.998068393509968,1.7109346480473262,14.980076947618764,1.2282499209878717,2,0
2002-03-31,68.1618,67.1540082241384,17.5589,15.1114036464226,56.1933,57.00609870952,2002,16.1888316729596,13.6084248345438,14.0741458949014,15.8119334684307,16.403363845821833,1.4115070806954306,15.170944685430166,1.6502352360626253,14.921699462451427,1.2014742010539938,3,0
2002-04-30,70.182,68.8807978315019,18.0417,16.0770034145576,57.52,57.8068296121568,2002,15.1114036464226,17.9098562180833,14.5249341345967,14.5150775203901,15.792412911313269,0.5924159045759096,15.429622898756984,1.6503640781508468,15.051859953632048,1.2374837956770293,4,0
2002-05-31,68.6291,66.6998134354398,17.2279,15.0220844978058,56.8057,56.6801111012892,2002,16.0770034145576,16.1888316729596,13.682217605975,14.0358329052173,15.403497186262001,0.5849807323682692,15.652934047395448,1.4444350472502003,15.134047586347757,1.1959228282033858,5,0
2002-06-30,69.0586,66.5653292340506,17.5544,15.9110246612787,56.9358,55.9741032837595,2002,15.0220844978058,15.1114036464226,13.6084248345438,15.3123432061408,15.670037524547366,0.5672473713316467,16.0367006851846,1.042582838769455,15.183937707609248,1.2163500272886036,6,0
2002-07-31,69.8961,67.4158235925792,18.1209,15.4261229817605,57.2303,57.0161757360212,2002,15.9110246612787,16.0770034145576,17.9098562180833,15.1838148191802,15.453077380281668,0.44508264205484666,15.622745145797467,0.5041494279351625,15.20413005449094,1.2183573964070686,7,0
2002-08-31,69.7626,66.548828562451,18.1559,15.9527508403354,57.0965,55.9324597547212,2002,15.4261229817605,15.0220844978058,16.1888316729596,14.9135110910063,15.7632994944582,0.29274779083862945,15.5833983403601,0.4582562610681885,15.290733366935031,1.2326731592734084,8,0
2002-09-30,69.0838,66.6668479116235,17.3254,14.4654887145083,57.1148,57.0231625506492,2002,15.9527508403354,15.9110246612787,15.1114036464226,14.0741458949014,15.281454178868067,0.7541113675231708,15.475745851707716,0.6336249039660017,15.323345268568941,1.2023649241555547,9,0
2002-10-31,69.4131,68.6143766728653,16.0585,14.9725889918442,58.2664,58.3410280643214,2002,14.4654887145083,15.4261229817605,16.0770034145576,14.5249341345967,15.1302761822293,0.7560661976563803,15.291676781255482,0.5823693376527068,15.360649840006234,1.1821154217390053,10,0
2002-11-30,70.6142,68.410835302691,15.2205,15.1893225941554,59.8664,58.019692839209,2002,14.9725889918442,15.9527508403354,15.0220844978058,13.682217605975,14.8758001001693,0.3714968889438516,15.319549797313748,0.5707723149148811,15.4862419223546,1.0614870949670572,11,0
2002-12-31,70.4489,66.9982558269495,15.5837,15.422503660537,59.4704,56.6654473695423,2002,15.1893225941554,14.4654887145083,15.9110246612787,13.6084248345438,15.194805082178867,0.22500743439365709,15.238129630523467,0.4999773393376444,15.637415157854035,0.8840983473556304,12,0
2003-01-31,69.0059,67.4009606556256,18.178,16.2715192032109,56.4619,56.4337967223869,2003,15.422503660537,14.9725889918442,15.4261229817605,17.9098562180833,15.6277818193011,0.5695539632133031,15.3790290007652,0.6577725158257121,15.500887073281334,0.5730579313380162,1,0
2003-02-28,69.0075,67.8228520405129,17.5943,15.8383741336772,56.8661,57.0808149862062,2003,16.2715192032109,15.1893225941554,15.9527508403354,16.1888316729596,15.844132332475034,0.4245370602968663,15.359966216322169,0.6392158127431196,15.471682278341135,0.5429501921323098,2,0
2003-03-31,68.7951,67.9227138585961,17.6039,13.1056993111406,56.6845,59.0209672163221,2003,15.8383741336772,15.422503660537,14.4654887145083,15.1114036464226,15.071864216009567,1.716466424859254,15.133334649094216,1.0969450625500583,15.304540250400967,0.8725918154826383,3,0
2003-04-30,68.5628,67.5523626073607,17.6891,15.0059465211429,56.4346,57.4154875397469,2003,13.1056993111406,16.2715192032109,14.9725889918442,16.0770034145576,14.650006655320233,1.4006776261840983,15.138894237310668,1.0960515923948233,15.215285509283076,0.8405865490212098,4,0
2003-05-31,69.4114,68.2902007810973,16.3307,12.8160578700332,58.076,59.5380927850202,2003,15.0059465211429,15.8383741336772,15.1893225941554,15.0220844978058,13.642567900772235,1.1895688243916402,14.743350116623633,1.4464397897920531,15.031449956968693,1.0906988468999266,5,0
2003-06-30,69.1276,66.4680325159809,16.5889,14.1050931243582,57.6601,57.092650981719,2003,12.8160578700332,13.1056993111406,15.422503660537,15.9110246612787,13.975699171844767,1.1006635145561094,14.523781693927168,1.422518964791791,14.880955662225317,1.082865166154358,6,0
2003-07-31,69.6827,67.5766205104734,17.6802,14.5143255630954,57.3627,57.7683261598696,2003,14.1050931243582,15.0059465211429,16.2715192032109,15.4261229817605,13.811825519162268,0.8863028294650046,14.23091608724125,1.144437194566612,14.804972544003226,1.0730794963780796,7,0
2003-08-31,71.0033,68.6646188225746,16.5945,14.3780678006978,59.2206,58.7919770127074,2003,14.5143255630954,12.8160578700332,15.8383741336772,15.9527508403354,14.332495496050464,0.20838767583956008,13.98753169841135,0.8521735683418468,14.67374895736676,1.014652325007124,8,0
2003-09-30,70.2839,68.8479804356922,16.2477,14.2347666292171,58.8644,59.0476310917424,2003,14.3780678006978,14.1050931243582,13.1056993111406,14.4654887145083,14.375719997670101,0.1397942542168629,14.175709584757433,0.7351231465836453,14.654522116925826,1.021122815425973,9,0
2003-10-31,71.1795,69.7208358417966,15.3238,13.5221699592088,60.2721,60.293065922288,2003,14.2347666292171,14.5143255630954,15.0059465211429,14.9725889918442,14.045001463041233,0.458419450379951,13.928413491101749,0.6438817790890753,14.533653864206208,1.0649522014027528,10,0
2003-11-30,70.7733,69.1300331780734,14.0501,12.6352116302744,60.8296,60.395303562777,2003,13.5221699592088,14.3780678006978,12.8160578700332,15.1893225941554,13.464049406233434,0.8013598116134952,13.898272451141949,0.707460791648546,14.320811283882792,1.1718638211357741,11,0
2003-12-31,69.941,68.4381018873756,14.3863,12.5582784053553,59.8791,59.8434545170182,2003,12.6352116302744,14.2347666292171,14.1050931243582,15.422503660537,12.9052199982795,0.5356772545031698,13.6404699979748,0.878241479471335,14.082125845950982,1.2178617686861277,12,0
2004-01-31,68.5587,68.1257156815405,18.1423,17.2564326453247,56.1206,56.3696510531968,2004,12.5582784053553,13.5221699592088,14.5143255630954,16.2715192032109,14.149974226984801,2.6905468977384874,14.097487845013015,1.727131200840791,14.164201966127132,1.3986032861913817,1,0
2004-02-29,69.2081,67.4176890513185,17.167,15.753438545793,57.3272,56.7970848376252,2004,17.2564326453247,12.6352116302744,14.3780678006978,15.8383741336772,15.189383198824332,2.3993295191508275,14.326716302528881,1.858121870172125,14.157124000470114,1.3895460986161607,2,0
2004-03-31,69.062,67.5351602717699,16.0489,13.522674534509,57.9783,58.4026003518594,2004,15.753438545793,12.5582784053553,14.2347666292171,13.1056993111406,15.510848575208898,1.8786630426693018,14.2080342867442,1.8876758365319977,14.191871935750816,1.365875183350645,3,0
2004-04-30,67.0351,66.9958453061547,16.575,14.6809940566167,55.9241,57.160189238578,2004,13.522674534509,17.2564326453247,13.5221699592088,15.0059465211429,14.652369045639567,1.1156574572645575,14.401171636312185,1.8625825711885777,14.164792563706966,1.3514130211570243,4,0
2004-05-31,67.6563,67.0058651086418,14.8504,13.832959328299,57.6091,57.7369746315226,2004,14.6809940566167,15.753438545793,12.6352116302744,12.8160578700332,14.012209306474901,0.59960315612158,14.600796252649618,1.6918167590990907,14.249534351895782,1.2896208979772843,5,0
2004-06-30,66.8089,65.6549286972804,15.669,14.0735927024384,56.3406,56.4149214433488,2004,13.832959328299,13.522674534509,12.5582784053553,14.1050931243582,14.195848695784699,0.43703617818208057,14.8533486354968,1.4166571866327788,14.2469093167358,1.28997364918764,6,0
2004-07-31,68.5903,66.7138053491192,15.2025,12.9087488070179,58.1628,58.1018877969985,2004,14.0735927024384,14.6809940566167,17.2564326453247,14.5143255630954,13.605100279251767,0.6149431964410144,14.128734662445666,0.9890248932332748,14.113111253729341,1.341935210892473,7,0
2004-08-31,67.8708,66.1631794381252,14.6964,13.0569434585311,57.8962,57.5242905085227,2004,12.9087488070179,13.832959328299,15.753438545793,14.3780678006978,13.346428322662467,0.6340870918851969,13.679318814568683,0.6615250936226494,14.003017558548782,1.3720764685744686,8,0
2004-09-30,68.021,66.0519539222609,14.4285,12.2850732000332,58.2066,57.9374230328589,2004,13.0569434585311,14.0735927024384,13.522674534509,14.2347666292171,12.750255155194067,0.40961701898199926,13.473051925489385,0.8777453472910672,13.840543106116792,1.4550658218993713,9,0
2004-10-31,68.1086,66.8133307972186,13.9985,12.285638235167,58.5744,58.6048866826069,2004,12.2850732000332,12.9087488070179,14.6809940566167,13.5221699592088,12.542551631243766,0.44547647951505887,13.073825955247765,0.7545493093729598,13.737498795779976,1.5219106455963485,10,0
2004-11-30,68.5794,67.2950249798255,13.7408,11.836774945952,59.1561,59.3294643231414,2004,12.285638235167,13.0569434585311,13.832959328299,12.6352116302744,12.1358287937174,0.25898838335646557,12.741128558189933,0.7920365742617261,13.670962405419774,1.5903950683609465,11,0
2004-12-31,68.3463,65.937719848041,12.8536,11.9539426059185,59.5614,58.0555626617549,2004,11.836774945952,12.2850732000332,14.0735927024384,12.5582784053553,12.0254519290125,0.23281913703173052,12.387853542103285,0.49638518927156045,13.620601088800043,1.6376973127333627,12,0
2005-01-31,67.8005,65.6839488268504,16.2491,13.2626463019229,56.7835,56.9725190168092,2005,11.9539426059185,12.285638235167,12.9087488070179,17.2564326453247,12.3511212845978,0.7915746699096695,12.446836457920783,0.5839602503789378,13.287785560183226,1.1709453748007788,1,0
2005-02-28,67.0558,66.0699453251513,15.9138,14.0969029794515,56.3846,56.7561292340881,2005,13.2626463019229,11.836774945952,13.0569434585311,15.753438545793,13.104497295764299,1.0801981863273273,12.620163044740849,0.880373126487145,13.149740929654769,0.9258310414749644,2,0
2005-03-31,67.9396,65.7010862244991,15.1025,12.9543443158619,57.6791,57.1899377586316,2005,14.0969029794515,11.9539426059185,12.2850732000332,13.522674534509,13.437964532412101,0.5911111878422495,12.7317082307123,0.8717823301794094,13.102380078100841,0.9195343708479446,3,0
2005-04-30,67.4044,65.6138638138159,14.4045,12.0204924317308,57.6951,57.7267542799101,2005,12.9543443158619,13.2626463019229,12.285638235167,14.6809940566167,13.023913242348067,1.0399519543328601,12.687517263472934,0.9050032683197348,12.88067160936035,0.8196219248002186,4,0
